position,model_type,validation_folds,avg_train_rows,avg_validation_rows,avg_mae,avg_rmse,avg_r2,pooled_avg_rmse,pooled_avg_mae,rmse_delta_vs_pooled,mae_delta_vs_pooled
QB,pooled_model,5,2017.4,41.6,0.668912856261,0.875677156652,0.286023402306,0.875677156652,0.668912856261,0,0
QB,position_specific_model,5,219.6,41.6,0.680201506341,0.891520628903,0.259309778573,0.875677156652,0.668912856261,0.0158434722513,0.0112886500803
QB,current_value_baseline,5,2017.4,41.6,0.781338381265,1.01254490021,0.0208342733554,0.875677156652,0.668912856261,0.136867743555,0.112425525004
RB,position_specific_model,5,521.6,88.8,0.727268068973,1.00737895998,0.0136162032652,1.01564243066,0.733545473956,-0.00826347068181,-0.00627740498331
RB,pooled_model,5,2017.4,88.8,0.733545473956,1.01564243066,-0.00229622625291,1.01564243066,0.733545473956,0,0
RB,current_value_baseline,5,2017.4,88.8,0.966666872675,1.35436567334,-0.796692568483,1.01564243066,0.733545473956,0.338723242678,0.233121398719
TE,pooled_model,5,2017.4,78.4,0.655403422642,0.90899127903,0.284255721217,0.90899127903,0.655403422642,0,0
TE,position_specific_model,5,450.6,78.4,0.666545051203,0.917348173512,0.271307804831,0.90899127903,0.655403422642,0.00835689448265,0.0111416285607
TE,current_value_baseline,5,2017.4,78.4,0.823769773119,1.12213185405,-0.0932099240123,0.90899127903,0.655403422642,0.21314057502,0.168366350477
WR,position_specific_model,5,825.6,145.8,0.643119309341,0.881881867516,0.307093977539,0.885775895128,0.653528582621,-0.00389402761206,-0.0104092732796
WR,pooled_model,5,2017.4,145.8,0.653528582621,0.885775895128,0.30053177475,0.885775895128,0.653528582621,0,0
WR,current_value_baseline,5,2017.4,145.8,0.792673563843,1.08702037936,-0.0526803361985,0.885775895128,0.653528582621,0.201244484231,0.139144981222
