position,salary_tier,player_seasons,median_salary_millions,mean_value_score,mean_value_above_expected_salary,median_value_above_expected_salary
QB,Low Cost,40,1.3237415,-0.272099033352,0.0557332752546,-0.0466283857286
QB,Below Median Cost,66,5.423591,-0.0731010749778,-0.0809372896339,-0.1626991232
QB,Above Median Cost,107,13.888422,0.119169558746,-0.193064837775,-0.241788104778
QB,High Cost,127,51.213603,0.728283172664,0.100879480193,0.0590014553897
RB,Low Cost,192,1.1169125,0.138662619752,0.209489604406,0.31071793445
RB,Below Median Cost,224,1.400634,-0.0356806883524,-0.0118025270769,0.0372273319826
RB,Above Median Cost,230,1.874903,-0.00379044597583,-0.0432646455256,-0.00784243910757
RB,High Cost,280,7.684725,-0.270468027702,-0.616924829833,-0.532133874917
TE,Low Cost,134,1.1632305,-0.175592096644,-0.0474455988029,-0.0888772171633
TE,Below Median Cost,190,1.506122,-0.0533446585511,-0.00769211338405,-0.100532165679
TE,Above Median Cost,201,3.241484,0.0156405402973,-0.0696237106134,-0.176816672694
TE,High Cost,242,12.063205,0.637029049536,0.200092411136,-0.052396551112
WR,Low Cost,300,1.110905,-0.280432166608,-0.135699472482,-0.243455109617
WR,Below Median Cost,363,1.49732,-0.148381800513,-0.0745835764971,-0.239057992843
WR,Above Median Cost,395,3.096168,0.155461959101,0.0630774829424,-0.0619382059662
WR,High Cost,440,16.361095,0.677362278107,0.20285203219,0.0770294742175
