position,method,method_type,n,rmse,r2,skill_vs_shrink_to_mean
QB,shrunken_persistence,baseline,160,0.12808319121083156,0.22179400058527676,0.12670632298622586
QB,random_forest,model,160,0.14371992931827995,0.02018454522718316,0.020092298231975225
QB,gradient_boosting,model,160,0.14459324498540718,0.00824064863930718,0.014137878741568466
QB,shrink_to_mean,baseline,160,0.1466668024539142,-0.020408207571805503,0.0
RB,random_forest,model,264,0.10889395663715146,0.04276870115529896,0.024955743994194757
RB,shrunken_persistence,baseline,264,0.10984128974565992,0.026041209584021785,0.01647325575976355
RB,shrink_to_mean,baseline,264,0.1116810400824546,-0.006858020586021363,0.0
RB,gradient_boosting,model,264,0.11279647603185926,-0.02707083645098418,-0.009987693063935765
TE,shrunken_persistence,baseline,172,0.3057859157179834,0.022958259318049956,0.01841666128368491
TE,random_forest,model,172,0.3081639623574821,0.007702583662960838,0.010783049531026379
TE,shrink_to_mean,baseline,172,0.3115231317168453,-0.014048580841106828,0.0
TE,gradient_boosting,model,172,0.3268706665282359,-0.11642629953053762,-0.04926611621682242
WR,random_forest,model,315,0.30694433282914513,0.033894975493078516,0.02221239424607746
WR,shrunken_persistence,baseline,315,0.30863355260551606,0.02323210170124268,0.016831294209122882
WR,shrink_to_mean,baseline,315,0.31391718510532346,-0.010497596637202955,0.0
WR,gradient_boosting,model,315,0.32012967242381457,-0.050889281728982994,-0.01979021096410105
